50000	401	116	591	
100000	337	203	561	
150000	328	358	470	
200000	271	565	335	
250000	253	599	308	
300000	264	439	340	
350000	251	326	358	
400000	249	438	363	
450000	257	478	358	
500000	218	525	294	
550000	226	461	296	
600000	240	462	309	
650000	232	530	304	
700000	214	464	305	
750000	199	491	274	
800000	221	512	296	
850000	214	459	291	
900000	220	498	296	
950000	205	501	269	
1000000	233	432	310	
1050000	222	498	314	
1100000	228	462	298	
1150000	213	409	312	
1200000	216	497	308	
1250000	216	631	282	
1300000	211	443	281	
1350000	206	479	268	
1400000	212	490	260	
1450000	232	518	313	
1500000	227	545	289	
1550000	213	533	289	
1600000	220	523	279	
1650000	231	436	297	
1700000	232	418	315	
1750000	197	428	268	
1800000	237	513	295	
1850000	207	445	292	
1900000	224	437	280	
1950000	210	427	288	
2000000	214	478	289	
2050000	197	601	289	
2100000	205	480	263	
2150000	213	529	259	
2200000	209	531	254	
2250000	229	565	265	
2300000	184	427	237	
2350000	203	575	231	
2400000	211	608	267	
2450000	230	658	274	
2500000	222	559	281	
2550000	215	535	276	
2600000	219	465	290	
2650000	202	474	246	
2700000	196	457	248	
2750000	206	450	286	
2800000	216	542	275	
2850000	190	503	263	
2900000	222	513	282	
2950000	217	487	272	
3000000	220	448	282	
3050000	214	474	268	
3100000	233	629	290	
3150000	227	513	268	
3200000	227	523	323	
3250000	217	566	271	
3300000	224	455	297	
3350000	174	544	225	
3400000	186	555	280	
3450000	215	612	292	
3500000	194	572	271	
3550000	214	645	283	
3600000	221	602	284	
3650000	244	689	324	
3700000	224	556	292	
3750000	222	477	276	
3800000	197	580	247	
3850000	227	649	274	
3900000	225	640	256	
3950000	212	581	271	
4000000	206	616	269	
4050000	210	590	298	
4100000	198	625	256	
4150000	184	592	259	
4200000	193	582	269	
4250000	185	568	254	
4300000	214	505	285	
4350000	210	479	271	
4400000	194	421	286	
4450000	200	496	259	
4500000	212	441	263	
4550000	201	494	289	
4600000	201	490	268	
4650000	185	588	262	
4700000	208	534	282	
4750000	214	505	289	
4800000	214	507	264	
4850000	201	560	239	
4900000	196	509	238	
4950000	206	562	273	
5000000	176	517	262	
5050000	196	578	275	
5100000	211	622	283	
5150000	202	633	263	
5200000	197	606	266	
5250000	226	621	287	
5300000	208	594	270	
5350000	225	539	290	
5400000	180	535	265	
5450000	198	636	266	
5500000	198	512	262	
5550000	195	471	271	
5600000	223	607	258	
5650000	233	641	315	
5700000	209	542	274	
5750000	213	519	288	
5800000	192	501	267	
5850000	202	590	287	
5900000	197	626	264	
5950000	202	612	303	
6000000	214	663	278	
6050000	222	700	310	
6100000	218	656	303	
6150000	230	596	314	
6200000	202	564	273	
6250000	197	556	256	
6300000	182	537	258	
6350000	226	689	291	
6400000	214	643	272	
6450000	221	635	294	
6500000	195	629	264	
6550000	228	621	325	
6600000	210	607	297	
6650000	206	592	271	
6700000	208	659	263	
6750000	214	595	304	
6800000	211	639	264	
6850000	196	665	252	
6900000	202	627	246	
6950000	211	551	294	
7000000	202	491	263	
7050000	225	490	292	
7100000	184	570	239	
7150000	223	466	298	
7200000	213	496	273	
7250000	208	568	318	
7300000	210	563	286	
7350000	195	636	263	
7400000	211	662	282	
7450000	204	584	277	
7500000	193	582	259	
7550000	204	547	298	
7600000	196	573	263	
7650000	211	577	286	
7700000	217	595	296	
7750000	209	529	292	
7800000	194	613	272	
7850000	196	571	280	
7900000	218	687	279	
7950000	215	685	299	
8000000	198	635	256	
8050000	198	582	257	
8100000	220	624	294	
8150000	220	700	287	
8200000	221	669	303	
8250000	217	695	277	
8300000	203	646	253	
8350000	208	532	279	
8400000	180	530	259	
8450000	204	501	265	
8500000	218	606	285	
8550000	214	622	280	
8600000	199	637	279	
8650000	233	604	300	
8700000	212	574	274	
8750000	202	559	280	
8800000	200	623	258	
8850000	180	603	254	
8900000	212	553	285	
8950000	214	678	291	
9000000	220	690	298	
9050000	244	726	314	
9100000	203	597	288	
9150000	207	503	281	
9200000	198	582	278	
9250000	199	603	264	
9300000	207	598	280	
9350000	188	582	264	
9400000	204	599	295	
9450000	209	614	276	
9500000	223	525	292	
9550000	220	536	301	
9600000	206	606	283	
9650000	198	490	258	
9700000	189	560	274	
9750000	195	557	270	
9800000	186	566	273	
9850000	191	555	262	
9900000	203	599	279	
9950000	202	614	271	
10000000	172	547	262	
10050000	203	587	276	
10100000	207	613	271	
10150000	183	644	231	
10200000	208	604	290	
10250000	188	614	264	
10300000	178	472	234	
10350000	209	594	288	
10400000	192	600	281	
10450000	205	650	307	
10500000	205	558	295	
10550000	202	649	269	
10600000	207	674	275	
10650000	208	620	275	
10700000	200	712	280	
10750000	188	633	263	
10800000	193	595	266	
10850000	191	651	262	
10900000	181	652	247	
10950000	200	672	263	
11000000	210	598	276	
11050000	202	627	262	
11100000	199	593	259	
11150000	190	598	259	
11200000	199	584	276	
11250000	210	675	287	
